"","db","query","phylum","class","order","family","genus","species","ncbi"
"42","itis","Acalypha alopecuroidea",NA,"Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha alopecuroidea",NA
"43","itis","Acalypha amentacea",NA,"Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha amentacea",NA
"44","itis","Acalypha arvensis",NA,"Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha arvensis",NA
"45","itis","Acalypha brasiliensis",NA,NA,NA,NA,NA,NA,NA
"46","itis","Acalypha communis",NA,NA,NA,NA,NA,NA,NA
"47","itis","Acalypha cuneata",NA,NA,NA,NA,NA,NA,NA
"48","itis","Acalypha diversifolia",NA,NA,NA,NA,NA,NA,NA
"49","itis","Acalypha gracilis",NA,NA,NA,NA,NA,NA,NA
"50","itis","Acalypha hispida",NA,"Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha","Acalypha hispida",NA
"51","itis","Acalypha juruana",NA,NA,NA,NA,NA,NA,NA
"52","itis","Acalypha macrostachya",NA,NA,NA,NA,NA,NA,NA
"53","itis","Acalypha scandens",NA,NA,NA,NA,NA,NA,NA
"54","itis","Acalypha stachyura",NA,NA,NA,NA,NA,NA,NA
"55","itis","Acalypha stenoloba",NA,NA,NA,NA,NA,NA,NA
"56","itis","Acalypha stricta",NA,NA,NA,NA,NA,NA,NA
"57","itis","Acalypha villosa",NA,NA,NA,NA,NA,NA,NA
"58","itis","Acanthella conferta",NA,NA,NA,NA,NA,NA,NA
"59","itis","Acanthella sprucei",NA,NA,NA,NA,NA,NA,NA
"60","itis","Acanthospermum australe",NA,"Magnoliopsida","Asterales","Asteraceae","Acanthospermum","Acanthospermum australe",NA
"61","itis","Achatocarpus praecox",NA,NA,NA,NA,NA,NA,NA
"62","itis","Acianthera ciliata",NA,NA,NA,NA,NA,NA,NA
"63","itis","Acianthera discophylla",NA,NA,NA,NA,NA,NA,NA
"64","itis","Acianthera erythrogramma",NA,NA,NA,NA,NA,NA,NA
"65","itis","Acianthera hygrophila",NA,NA,NA,NA,NA,NA,NA
"66","itis","Acianthera miqueliana",NA,NA,NA,NA,NA,NA,NA
"67","itis","Acidoton nicaraguensis",NA,NA,NA,NA,NA,NA,NA
"68","itis","Acineta alticola",NA,NA,NA,NA,NA,NA,NA
"69","itis","Acioa dolichopoda",NA,NA,NA,NA,NA,NA,NA
"70","itis","Acioa edulis",NA,NA,NA,NA,NA,NA,NA
"71","itis","Acioa guianensis",NA,NA,NA,NA,NA,NA,NA
"72","itis","Acioa longipendula",NA,NA,NA,NA,NA,NA,NA
"73","itis","Acioa schultesii",NA,NA,NA,NA,NA,NA,NA
"74","itis","Aciotis acuminifolia",NA,NA,NA,NA,NA,NA,NA
"75","itis","Aciotis annua",NA,NA,NA,NA,NA,NA,NA
"76","itis","Aciotis circaeifolia",NA,NA,NA,NA,NA,NA,NA
"77","itis","Aciotis ferreirana",NA,NA,NA,NA,NA,NA,NA
"78","itis","Aciotis indecora",NA,NA,NA,NA,NA,NA,NA
"79","itis","Aciotis olivieriana",NA,NA,NA,NA,NA,NA,NA
"80","itis","Aciotis ornata",NA,NA,NA,NA,NA,NA,NA
"81","itis","Aciotis paludosa",NA,NA,NA,NA,NA,NA,NA
"82","itis","Aciotis polystachya",NA,NA,NA,NA,NA,NA,NA
"83","itis","Aciotis purpurascens",NA,NA,NA,NA,NA,NA,NA
"84","itis","Aciotis rubricaulis",NA,NA,NA,NA,NA,NA,NA
"85","itis","Aciotis viscida",NA,NA,NA,NA,NA,NA,NA
"86","itis","Acisanthera quadrata",NA,"Magnoliopsida","Myrtales","Melastomataceae","Acisanthera","Acisanthera quadrata",NA
"87","itis","Acisanthera uniflora",NA,NA,NA,NA,NA,NA,NA
"88","itis","Acisanthera variabilis",NA,NA,NA,NA,NA,NA,NA
"89","itis","Acmanthera latifolia",NA,NA,NA,NA,NA,NA,NA
"90","itis","Acmanthera longifolia",NA,NA,NA,NA,NA,NA,NA
"91","itis","Acmanthera parviflora",NA,NA,NA,NA,NA,NA,NA
"92","itis","Acmella brachyglossa",NA,NA,NA,NA,NA,NA,NA
"93","itis","Acmella ciliata",NA,NA,NA,NA,NA,NA,NA
"94","itis","Acmella oleracea",NA,NA,NA,NA,NA,NA,NA
"95","itis","Acrobolbus gradsteinii",NA,"Jungermanniopsida","Jungermanniales","Acrobolbaceae","Acrobolbus","Acrobolbus gradsteinii",NA
"96","itis","Acrobolbus laxus",NA,"Jungermanniopsida","Jungermanniales","Acrobolbaceae","Acrobolbus","Acrobolbus laxus",NA
"97","itis","Acroceras zizanioides",NA,"Magnoliopsida","Poales","Poaceae","Acroceras","Acroceras zizanioides",NA
"98","itis","Acrolejeunea emergens",NA,"Jungermanniopsida","Porellales","Lejeuneaceae","Acrolejeunea","Acrolejeunea emergens",NA
"99","itis","Acrolejeunea torulosa",NA,"Jungermanniopsida","Porellales","Lejeuneaceae","Acrolejeunea","Acrolejeunea torulosa",NA
"100","itis","Acroporium longirostre",NA,NA,NA,NA,NA,NA,NA
"101","itis","Acroporium pungens",NA,NA,NA,NA,NA,NA,NA
"102","itis","Acrostichum danaeifolium",NA,"Polypodiopsida","Polypodiales","Pteridaceae","Acrostichum","Acrostichum danaeifolium",NA
"103","itis","Actinocladum verticillatum",NA,"Magnoliopsida","Poales","Poaceae","Actinocladum","Actinocladum verticillatum",NA
"104","itis","Actinostachys pennula",NA,"Polypodiopsida","Schizaeales","Schizaeaceae","Actinostachys","Actinostachys pennula",NA
"105","itis","Actinostachys subtrijuga",NA,NA,NA,NA,NA,NA,NA
"106","itis","Actinostemon amazonicus",NA,NA,NA,NA,NA,NA,NA
"107","itis","Actinostemon concolor",NA,NA,NA,NA,NA,NA,NA
"108","itis","Actinostemon lasiocarpus",NA,NA,NA,NA,NA,NA,NA
"109","itis","Adelobotrys acreanus",NA,NA,NA,NA,NA,NA,NA
"110","itis","Adelobotrys adscendens",NA,NA,NA,NA,NA,NA,NA
"111","itis","Adelobotrys barbatus",NA,NA,NA,NA,NA,NA,NA
"112","itis","Adelobotrys klugii",NA,NA,NA,NA,NA,NA,NA
"113","itis","Adelobotrys latifolius",NA,NA,NA,NA,NA,NA,NA
"114","itis","Adelobotrys linearifolius",NA,NA,NA,NA,NA,NA,NA
"115","itis","Adelobotrys macrophyllus",NA,NA,NA,NA,NA,NA,NA
"116","itis","Adelobotrys marginatus",NA,NA,NA,NA,NA,NA,NA
"117","itis","Adelobotrys monticolus",NA,NA,NA,NA,NA,NA,NA
"118","itis","Adelobotrys rachidotrichia",NA,NA,NA,NA,NA,NA,NA
"119","itis","Adelobotrys rachidotrichus",NA,NA,NA,NA,NA,NA,NA
"120","itis","Adelobotrys rotundifolius",NA,NA,NA,NA,NA,NA,NA
"121","itis","Adelobotrys scandens",NA,NA,NA,NA,NA,NA,NA
"122","itis","Adelobotrys spruceanus",NA,NA,NA,NA,NA,NA,NA
"123","itis","Adelobotrys subsessilis",NA,NA,NA,NA,NA,NA,NA
"124","itis","Adelobotrys tessmannii",NA,NA,NA,NA,NA,NA,NA
"125","itis","Adelonema picturatum",NA,NA,NA,NA,NA,NA,NA
"126","itis","Adelonema wendlandii",NA,NA,NA,NA,NA,NA,NA
"127","itis","Adenanthera pavonina",NA,"Magnoliopsida","Fabales","Fabaceae","Adenanthera","Adenanthera pavonina",NA
"128","itis","Adenaria floribunda",NA,NA,NA,NA,NA,NA,NA
"129","itis","Adenocalymma adenophorum",NA,NA,NA,NA,NA,NA,NA
"130","itis","Adenocalymma albiflorum",NA,NA,NA,NA,NA,NA,NA
"131","itis","Adenocalymma allamandiflorum",NA,NA,NA,NA,NA,NA,NA
"132","itis","Adenocalymma apurense",NA,NA,NA,NA,NA,NA,NA
"133","itis","Adenocalymma bracteolatum",NA,NA,NA,NA,NA,NA,NA
"134","itis","Adenocalymma bracteosum",NA,NA,NA,NA,NA,NA,NA
"135","itis","Adenocalymma cidii",NA,NA,NA,NA,NA,NA,NA
"136","itis","Adenocalymma cladotrichum",NA,NA,NA,NA,NA,NA,NA
"137","itis","Adenocalymma croatii",NA,NA,NA,NA,NA,NA,NA
"138","itis","Adenocalymma flaviflorum",NA,NA,NA,NA,NA,NA,NA
"139","itis","Adenocalymma impressum",NA,NA,NA,NA,NA,NA,NA
"140","itis","Adenocalymma inundatum",NA,NA,NA,NA,NA,NA,NA
"141","itis","Adenocalymma juliae",NA,NA,NA,NA,NA,NA,NA
"142","itis","Adenocalymma longilineum",NA,NA,NA,NA,NA,NA,NA
"143","itis","Adenocalymma magnificum",NA,NA,NA,NA,NA,NA,NA
"144","itis","Adenocalymma marginatum",NA,NA,NA,NA,NA,NA,NA
"145","itis","Adenocalymma molle",NA,NA,NA,NA,NA,NA,NA
"146","itis","Adenocalymma moringifolium",NA,NA,NA,NA,NA,NA,NA
"147","itis","Adenocalymma neoflavidum",NA,NA,NA,NA,NA,NA,NA
"148","itis","Adenocalymma patulum",NA,NA,NA,NA,NA,NA,NA
"149","itis","Adenocalymma pedunculatum",NA,NA,NA,NA,NA,NA,NA
"150","itis","Adenocalymma prancei",NA,NA,NA,NA,NA,NA,NA
"151","itis","Adenocalymma purpurascens",NA,NA,NA,NA,NA,NA,NA
"152","itis","Adenocalymma racemosum",NA,NA,NA,NA,NA,NA,NA
"153","itis","Adenocalymma saulense",NA,NA,NA,NA,NA,NA,NA
"154","itis","Adenocalymma schomburgkii",NA,NA,NA,NA,NA,NA,NA
"155","itis","Adenocalymma subincanum",NA,NA,NA,NA,NA,NA,NA
"156","itis","Adenocalymma tanaeciicarpum",NA,NA,NA,NA,NA,NA,NA
"157","itis","Adenocalymma validum",NA,NA,NA,NA,NA,NA,NA
"158","itis","Adenolisianthus arboreus",NA,NA,NA,NA,NA,NA,NA
"159","itis","Adenophaedra grandiflora",NA,NA,NA,NA,NA,NA,NA
"160","itis","Adenophaedra grandifolia",NA,NA,NA,NA,NA,NA,NA
"161","itis","Adenostemma brasilianum",NA,NA,NA,NA,NA,NA,NA
"162","itis","Adiantopsis radiata",NA,"Polypodiopsida","Polypodiales","Pteridaceae","Adiantopsis","Adiantopsis radiata",NA
"163","itis","Adiantum adiantoides",NA,NA,NA,NA,NA,NA,NA
"164","itis","Adiantum argutum",NA,NA,NA,NA,NA,NA,NA
"165","itis","Adiantum cajennense",NA,NA,NA,NA,NA,NA,NA
"166","itis","Adiantum cinnamomeum",NA,NA,NA,NA,NA,NA,NA
"167","itis","Adiantum deflectens",NA,NA,NA,NA,NA,NA,NA
"168","itis","Adiantum diogoanum",NA,NA,NA,NA,NA,NA,NA
"169","itis","Adiantum glaucescens",NA,NA,NA,NA,NA,NA,NA
"170","itis","Adiantum humile",NA,NA,NA,NA,NA,NA,NA
"171","itis","Adiantum latifolium",NA,"Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum latifolium",NA
"172","itis","Adiantum macrocladum",NA,NA,NA,NA,NA,NA,NA
"173","itis","Adiantum multisorum",NA,NA,NA,NA,NA,NA,NA
"174","itis","Adiantum nudum",NA,NA,NA,NA,NA,NA,NA
"175","itis","Adiantum obliquum",NA,"Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum obliquum",NA
"176","itis","Adiantum paraense",NA,NA,NA,NA,NA,NA,NA
"177","itis","Adiantum petiolatum",NA,"Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum petiolatum",NA
"178","itis","Adiantum poeppigianum",NA,NA,NA,NA,NA,NA,NA
"179","itis","Adiantum pulverulentum",NA,"Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum pulverulentum",NA
"180","itis","Adiantum raddianum",NA,"Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum raddianum",NA
"181","itis","Adiantum scalare",NA,NA,NA,NA,NA,NA,NA
"182","itis","Adiantum serratodentatum",NA,NA,NA,NA,NA,NA,NA
"183","itis","Adiantum terminatum",NA,NA,NA,NA,NA,NA,NA
"184","itis","Adiantum tetraphyllum",NA,"Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum tetraphyllum",NA
"185","itis","Adiantum tomentosum",NA,NA,NA,NA,NA,NA,NA
"186","itis","Adiantum tuomistoanum",NA,NA,NA,NA,NA,NA,NA
"187","itis","Adiscanthus fusciflorus",NA,NA,NA,NA,NA,NA,NA
"188","itis","Aechmea angustifolia",NA,NA,NA,NA,NA,NA,NA
"189","itis","Aechmea brevicollis",NA,NA,NA,NA,NA,NA,NA
"190","itis","Aechmea bromeliifolia",NA,NA,NA,NA,NA,NA,NA
"191","itis","Aechmea chantinii",NA,NA,NA,NA,NA,NA,NA
"192","itis","Aechmea contracta",NA,NA,NA,NA,NA,NA,NA
"193","itis","Aechmea corymbosa",NA,NA,NA,NA,NA,NA,NA
"194","itis","Aechmea fernandae",NA,NA,NA,NA,NA,NA,NA
"195","itis","Aechmea fuerstenbergii",NA,NA,NA,NA,NA,NA,NA
"196","itis","Aechmea huebneri",NA,NA,NA,NA,NA,NA,NA
"197","itis","Aechmea longifolia",NA,NA,NA,NA,NA,NA,NA
"198","itis","Aechmea melinonii",NA,NA,NA,NA,NA,NA,NA
"199","itis","Aechmea mertensii",NA,NA,NA,NA,NA,NA,NA
"200","itis","Aechmea nivea",NA,NA,NA,NA,NA,NA,NA
"201","itis","Aechmea penduliflora",NA,NA,NA,NA,NA,NA,NA
"202","itis","Aechmea poitaei",NA,NA,NA,NA,NA,NA,NA
"203","itis","Aechmea recurvata",NA,NA,NA,NA,NA,NA,NA
"204","itis","Aechmea rodriguesiana",NA,NA,NA,NA,NA,NA,NA
"205","itis","Aechmea rubiginosa",NA,NA,NA,NA,NA,NA,NA
"206","itis","Aechmea setigera",NA,NA,NA,NA,NA,NA,NA
"207","itis","Aechmea streptocalycoides",NA,NA,NA,NA,NA,NA,NA
"208","itis","Aechmea tillandsioides",NA,NA,NA,NA,NA,NA,NA
"209","itis","Aechmea tocantina",NA,NA,NA,NA,NA,NA,NA
"210","itis","Aechmea vallerandii",NA,NA,NA,NA,NA,NA,NA
"211","itis","Aechmea williamsii",NA,NA,NA,NA,NA,NA,NA
"212","itis","Aegiphila brachiata",NA,NA,NA,NA,NA,NA,NA
"213","itis","Aegiphila bracteolosa",NA,NA,NA,NA,NA,NA,NA
"214","itis","Aegiphila cordata",NA,NA,NA,NA,NA,NA,NA
"215","itis","Aegiphila elata",NA,"Magnoliopsida","Lamiales","Lamiaceae","Aegiphila","Aegiphila elata",NA
"216","itis","Aegiphila exiguiflora",NA,NA,NA,NA,NA,NA,NA
"217","itis","Aegiphila filipes",NA,NA,NA,NA,NA,NA,NA
"218","itis","Aegiphila floribunda",NA,NA,NA,NA,NA,NA,NA
"219","itis","Aegiphila haughtii",NA,NA,NA,NA,NA,NA,NA
"220","itis","Aegiphila hirsutissima",NA,NA,NA,NA,NA,NA,NA
"221","itis","Aegiphila hoehnei",NA,NA,NA,NA,NA,NA,NA
"222","itis","Aegiphila integrifolia",NA,"Magnoliopsida","Lamiales","Lamiaceae","Aegiphila","Aegiphila integrifolia",NA
"223","itis","Aegiphila intermedia",NA,NA,NA,NA,NA,NA,NA
"224","itis","Aegiphila laevis",NA,NA,NA,NA,NA,NA,NA
"225","itis","Aegiphila laxiflora",NA,NA,NA,NA,NA,NA,NA
"226","itis","Aegiphila macrantha",NA,NA,NA,NA,NA,NA,NA
"227","itis","Aegiphila martinicensis",NA,"Magnoliopsida","Lamiales","Lamiaceae","Aegiphila","Aegiphila martinicensis",NA
"228","itis","Aegiphila membranacea",NA,NA,NA,NA,NA,NA,NA
"229","itis","Aegiphila microcalycina",NA,NA,NA,NA,NA,NA,NA
"230","itis","Aegiphila mollis",NA,NA,NA,NA,NA,NA,NA
"231","itis","Aegiphila panamensis",NA,NA,NA,NA,NA,NA,NA
"232","itis","Aegiphila paraguariensis",NA,NA,NA,NA,NA,NA,NA
"233","itis","Aegiphila peruviana",NA,NA,NA,NA,NA,NA,NA
"234","itis","Aegiphila racemosa",NA,NA,NA,NA,NA,NA,NA
"235","itis","Aegiphila scandens",NA,NA,NA,NA,NA,NA,NA
"236","itis","Aegiphila smithii",NA,NA,NA,NA,NA,NA,NA
"237","itis","Aegiphila triflora",NA,NA,NA,NA,NA,NA,NA
"238","itis","Aegiphila ulei",NA,NA,NA,NA,NA,NA,NA
"239","itis","Aegiphila venezuelensis",NA,NA,NA,NA,NA,NA,NA
"240","itis","Aegiphila verticillata",NA,NA,NA,NA,NA,NA,NA
"241","itis","Aegiphila vitelliniflora",NA,NA,NA,NA,NA,NA,NA
"242","itis","Aeollanthus suaveolens",NA,NA,NA,NA,NA,NA,NA
"243","itis","Aeschynomene americana",NA,"Magnoliopsida","Fabales","Fabaceae","Aeschynomene","Aeschynomene americana",NA
"244","itis","Aeschynomene ciliata",NA,NA,NA,NA,NA,NA,NA
"245","itis","Aeschynomene filosa",NA,NA,NA,NA,NA,NA,NA
"246","itis","Aeschynomene fluminensis",NA,NA,NA,NA,NA,NA,NA
"247","itis","Aeschynomene rudis",NA,"Magnoliopsida","Fabales","Fabaceae","Aeschynomene","Aeschynomene rudis",NA
"248","itis","Aeschynomene sensitiva",NA,"Magnoliopsida","Fabales","Fabaceae","Aeschynomene","Aeschynomene sensitiva",NA
"249","itis","Aganisia cyanea",NA,NA,NA,NA,NA,NA,NA
"250","itis","Aganisia fimbriata",NA,NA,NA,NA,NA,NA,NA
"251","itis","Aganope thyrsiflora",NA,NA,NA,NA,NA,NA,NA
"252","itis","Agave angustifolia",NA,"Magnoliopsida","Asparagales","Asparagaceae","Agave","Agave angustifolia",NA
"253","itis","Ageratum conyzoides",NA,"Magnoliopsida","Asterales","Asteraceae","Ageratum","Ageratum conyzoides",NA
"254","itis","Aglaonema commutatum",NA,"Magnoliopsida","Alismatales","Araceae","Aglaonema","Aglaonema commutatum",NA
"255","itis","Agonandra brasiliensis",NA,NA,NA,NA,NA,NA,NA
"256","itis","Agonandra peruviana",NA,NA,NA,NA,NA,NA,NA
"257","itis","Agonandra silvatica",NA,NA,NA,NA,NA,NA,NA
"258","itis","Agouticarpa curviflora",NA,NA,NA,NA,NA,NA,NA
"259","itis","Agouticarpa isernii",NA,NA,NA,NA,NA,NA,NA
"260","itis","Aguiaria excelsa",NA,NA,NA,NA,NA,NA,NA
"261","itis","Aiouea grandifolia",NA,NA,NA,NA,NA,NA,NA
"262","itis","Aiouea guianensis",NA,NA,NA,NA,NA,NA,NA
"263","itis","Aiouea impressa",NA,NA,NA,NA,NA,NA,NA
"264","itis","Aiouea lehmannii",NA,NA,NA,NA,NA,NA,NA
"265","itis","Aiouea maguireana",NA,NA,NA,NA,NA,NA,NA
"266","itis","Aiouea myristicoides",NA,NA,NA,NA,NA,NA,NA
"267","itis","Aiouea saligna",NA,NA,NA,NA,NA,NA,NA
"268","itis","Aiphanes weberbaueri",NA,NA,NA,NA,NA,NA,NA
"269","itis","Alansmia senilis",NA,NA,NA,NA,NA,NA,NA
"270","itis","Albizia edwallii",NA,NA,NA,NA,NA,NA,NA
"271","itis","Albizia glabripetala",NA,NA,NA,NA,NA,NA,NA
"272","itis","Albizia multiflora",NA,NA,NA,NA,NA,NA,NA
"273","itis","Albizia niopoides",NA,NA,NA,NA,NA,NA,NA
"274","itis","Albizia pistaciifolia",NA,NA,NA,NA,NA,NA,NA
"275","itis","Albizia polycephala",NA,NA,NA,NA,NA,NA,NA
"276","itis","Albizia subdimidiata",NA,NA,NA,NA,NA,NA,NA
"277","itis","Alchornea castaneifolia",NA,NA,NA,NA,NA,NA,NA
"278","itis","Alchornea discolor",NA,NA,NA,NA,NA,NA,NA
"279","itis","Alchornea floribunda",NA,NA,NA,NA,NA,NA,NA
"280","itis","Alchornea fluviatilis",NA,NA,NA,NA,NA,NA,NA
"281","itis","Alchornea glandulosa",NA,NA,NA,NA,NA,NA,NA
"282","itis","Alchornea latifolia",NA,"Magnoliopsida","Malpighiales","Euphorbiaceae","Alchornea","Alchornea latifolia",NA
"283","itis","Alchornea schomburgkii",NA,NA,NA,NA,NA,NA,NA
"284","itis","Alchornea triplinervia",NA,NA,NA,NA,NA,NA,NA
"285","itis","Alchorneopsis floribunda",NA,"Magnoliopsida","Malpighiales","Euphorbiaceae","Alchorneopsis","Alchorneopsis floribunda",NA
"286","itis","Aldina discolor",NA,NA,NA,NA,NA,NA,NA
"287","itis","Aldina elliptica",NA,NA,NA,NA,NA,NA,NA
"288","itis","Aldina heterophylla",NA,NA,NA,NA,NA,NA,NA
"289","itis","Aldina kunhardtiana",NA,NA,NA,NA,NA,NA,NA
"290","itis","Aldina latifolia",NA,NA,NA,NA,NA,NA,NA
"291","itis","Aldina microphylla",NA,NA,NA,NA,NA,NA,NA
"292","itis","Aldina occidentalis",NA,NA,NA,NA,NA,NA,NA
"293","itis","Aldina reticulata",NA,NA,NA,NA,NA,NA,NA
"294","itis","Alexa bauhiniiflora",NA,NA,NA,NA,NA,NA,NA
"295","itis","Alexa canaracunensis",NA,NA,NA,NA,NA,NA,NA
"296","itis","Alexa grandiflora",NA,NA,NA,NA,NA,NA,NA
"297","itis","Algernonia amazonica",NA,NA,NA,NA,NA,NA,NA
"298","itis","Alibertia bertierifolia",NA,NA,NA,NA,NA,NA,NA
"299","itis","Alibertia claviflora",NA,NA,NA,NA,NA,NA,NA
"300","itis","Alibertia curviflora",NA,NA,NA,NA,NA,NA,NA
"301","itis","Alibertia duckeana",NA,NA,NA,NA,NA,NA,NA
"302","itis","Alibertia edulis",NA,NA,NA,NA,NA,NA,NA
"303","itis","Alibertia latifolia",NA,NA,NA,NA,NA,NA,NA
"304","itis","Alibertia occidentalis",NA,NA,NA,NA,NA,NA,NA
"305","itis","Alibertia patinoi",NA,NA,NA,NA,NA,NA,NA
"306","itis","Alibertia pilosa",NA,NA,NA,NA,NA,NA,NA
"307","itis","Alibertia sorbilis",NA,NA,NA,NA,NA,NA,NA
"308","itis","Alibertia stenantha",NA,NA,NA,NA,NA,NA,NA
"309","itis","Alicia macrodisca",NA,NA,NA,NA,NA,NA,NA
"310","itis","Allamanda blanchetii",NA,"Magnoliopsida","Gentianales","Apocynaceae","Allamanda","Allamanda blanchetii",NA
"311","itis","Allamanda cathartica",NA,"Magnoliopsida","Gentianales","Apocynaceae","Allamanda","Allamanda cathartica",NA
"312","itis","Allamanda nobilis",NA,NA,NA,NA,NA,NA,NA
"313","itis","Allantoma decandra",NA,NA,NA,NA,NA,NA,NA
"314","itis","Allantoma integrifolia",NA,NA,NA,NA,NA,NA,NA
"315","itis","Allantoma lineata",NA,NA,NA,NA,NA,NA,NA
"316","itis","Allantoma pauciramosa",NA,NA,NA,NA,NA,NA,NA
"317","itis","Allantoma pluriflora",NA,NA,NA,NA,NA,NA,NA
"318","itis","Allantoma uaupensis",NA,NA,NA,NA,NA,NA,NA
"319","itis","Allium sativum",NA,"Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium sativum",NA
"320","itis","Allium schoenoprasum",NA,"Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium schoenoprasum",NA
"321","itis","Allobriquetia spicata",NA,NA,NA,NA,NA,NA,NA
"322","itis","Allophylus amazonicus",NA,NA,NA,NA,NA,NA,NA
"323","itis","Allophylus dioicus",NA,NA,NA,NA,NA,NA,NA
"324","itis","Allophylus divaricatus",NA,NA,NA,NA,NA,NA,NA
"325","itis","Allophylus edulis",NA,NA,NA,NA,NA,NA,NA
"326","itis","Allophylus floribundus",NA,NA,NA,NA,NA,NA,NA
"327","itis","Allophylus gentryi",NA,NA,NA,NA,NA,NA,NA
"328","itis","Allophylus glabratus",NA,NA,NA,NA,NA,NA,NA
"329","itis","Allophylus guaraniticus",NA,NA,NA,NA,NA,NA,NA
"330","itis","Allophylus latifolius",NA,NA,NA,NA,NA,NA,NA
"331","itis","Allophylus loretensis",NA,NA,NA,NA,NA,NA,NA
"332","itis","Allophylus pilosus",NA,NA,NA,NA,NA,NA,NA
"333","itis","Allophylus psilospermus",NA,NA,NA,NA,NA,NA,NA
"334","itis","Allophylus punctatus",NA,NA,NA,NA,NA,NA,NA
"335","itis","Allophylus robustus",NA,NA,NA,NA,NA,NA,NA
"336","itis","Allophylus scrobiculatus",NA,NA,NA,NA,NA,NA,NA
"337","itis","Allophylus semidentatus",NA,NA,NA,NA,NA,NA,NA
"338","itis","Allophylus strictus",NA,NA,NA,NA,NA,NA,NA
"339","itis","Allorgella integerrima",NA,NA,NA,NA,NA,NA,NA
